Date,RSI_14_AAPL,RSI_14_CSCO,RSI_14_CVX,RSI_14_GOOG,RSI_14_KO,RSI_14_MSFT,RSI_14_NVDA,RSI_14_PFE,RSI_14_PG,RSI_14_XOM,EMA_Cross_AAPL,EMA_Cross_CSCO,EMA_Cross_CVX,EMA_Cross_GOOG,EMA_Cross_KO,EMA_Cross_MSFT,EMA_Cross_NVDA,EMA_Cross_PFE,EMA_Cross_PG,EMA_Cross_XOM,Vol_Spike_AAPL,Vol_Spike_CSCO,Vol_Spike_CVX,Vol_Spike_GOOG,Vol_Spike_KO,Vol_Spike_MSFT,Vol_Spike_NVDA,Vol_Spike_PFE,Vol_Spike_PG,Vol_Spike_XOM,VIX_ZScore_Signal,Herding_Index,Portfolio_Lag1,Portfolio_Lag2,Portfolio_Lag3,Portfolio_Momentum_3d,Portfolio_Momentum_5d,Portfolio_Momentum_10d,target
2015-11-19,45.112463284991435,32.00690940403216,42.95330888841938,60.482860922380475,58.756682190991164,58.27598144616006,65.74685191071038,16.166061909274717,47.46427435229943,36.27487291690875,1,-1,-1,1,1,1,1,-1,1,-1,0.6801702677156442,0.07485842431665628,-0.9890933973309182,1.2636743159339194,0.3014944867850316,0.9025282915598458,0.3452223940194954,-2.753331731523706,0.4534769720420073,0.5969841725854318,0,0.2,0.016492670333276206,-0.005193006604877688,0.019874423987580613,0.010921566392835489,0.012201785145230397,-0.0041606787288028385,-0.00019387464146870502
2015-11-20,46.56285073181432,35.3997263764968,39.47033570393988,67.4812599350678,51.6961134308553,59.83028214381404,66.81231032306923,15.67853581602212,45.04722193996444,35.0831740764102,1,-1,-1,1,1,1,1,-1,1,-1,0.30141510286900325,0.06046976300912662,-0.1759992880444624,1.2935047521377772,2.0115686203166097,0.18635316929048654,0.2745379971573862,-1.7147772779164883,-0.6625840428257607,-0.03568446910819248,0,0.0,-0.00037809733556303166,0.016492670333276206,-0.005193006604877688,0.015920698356244472,0.030602115738947396,-0.015292742898129437,-0.0029158250287991336
2015-11-23,39.266497812519894,35.518018971490136,33.68776329941787,66.73081228396468,56.580537777702304,53.47842573947455,64.92049025002072,12.916455715653797,42.90238804698206,30.756165570831442,1,-1,-1,1,1,1,1,-1,1,-1,-0.6259571318186585,0.3964137374972896,-1.07762227441875,1.3108492522317494,-1.6399828462682855,0.32067561247486687,-1.0822483294716525,-1.2420848743932786,-0.5080856004557288,-0.5128976731614872,0,-0.1,-0.00019387464146870502,-0.00037809733556303166,0.016492670333276206,-0.0034877970058308687,0.007811866722567648,-0.0077391278630596595,0.007292179789563738
2015-11-24,43.706165888669645,35.288751563058355,40.04690318359823,59.84264724035957,61.0388812608069,51.90800541423195,69.83338262748367,26.810847105188486,46.237535137818035,39.508896045393534,1,-1,-1,1,1,1,1,-1,1,1,-0.9441102377015489,-0.024359180867652604,0.1215875875001293,-0.4653652061233341,0.1802896801351177,0.08543886186003766,-1.1424722182084703,-2.1317230979498896,0.3011817132228734,0.5206852419118796,0,0.6,-0.0029158250287991336,-0.00019387464146870502,-0.00037809733556303166,0.004182480119295902,0.02029705311700907,0.0032071972729473047,-0.0012561014358578207
2015-11-25,43.06590656598519,35.36255798674446,43.45763579335262,58.482338101742826,58.64548240304982,47.33831706982919,72.50016481932535,38.70223796054552,46.90918230150005,40.78188930069627,1,-1,-1,1,1,1,1,-1,1,1,0.694594620278696,-0.1525324012287706,0.6840266495080106,-0.5041808308754168,0.5306678212664532,-0.8157229565309517,0.47781247079501926,0.28305325213584637,-0.9158639881332489,1.0535192966655742,0,-0.7,0.007292179789563738,-0.0029158250287991336,-0.00019387464146870502,0.003120253324906786,0.0025482813478750464,0.004106686337848966,0.0008606487697280045
2015-11-27,42.230913964963776,36.334269968363046,43.45721991978158,58.29336126431971,63.38090100208617,44.701723059749625,49.55543797329404,39.64626067699004,50.895656234007404,41.62799719733817,1,-1,-1,1,1,1,1,-1,1,1,-0.22105689294275221,0.12924624913541877,-0.009314945297879677,0.15239668739875936,0.1738496327672277,-1.0818511965520472,0.49353730952548885,1.145786704907652,-0.3754086603096386,-0.3341093019582371,0,0.0,-0.0012561014358578207,0.007292179789563738,-0.0029158250287991336,0.006896727123433925,0.003787027453166083,0.01598881259839648,8.815177990466466e-05
2015-11-30,44.57673809742298,38.126338122440934,50.307912814221176,59.13112722960171,62.30450773887037,55.00502803114732,54.489561671551414,41.5803083380713,46.4539933406196,48.928509417919635,1,-1,1,1,1,1,1,-1,-1,1,0.32956336351914295,0.44918004206610823,0.6184056449979629,-0.7430418490230597,-0.8755943034586875,0.2578624563756809,0.13662059744768354,-0.06934528583713032,-0.6960134722171435,0.27196067072822827,0,0.0,0.0008606487697280045,-0.0012561014358578207,0.007292179789563738,-0.0003073008862251493,0.004069053874539452,0.034671169613486846,0.014569321557063702
2015-12-01,51.608646832244254,44.93999778674253,50.988187621113696,66.20400094347076,62.52427764988699,68.02408833297228,69.74169037327192,48.589771113274324,50.97581815631438,48.28549520616926,-1,1,1,1,1,1,1,1,-1,1,-0.6747555451799725,1.5096272512022821,0.11930389770150764,2.006383874893668,-1.1235933245543366,0.6540546668928952,1.1564197539443084,0.9055273140775565,2.2261971739364887,0.18401346847546088,0,0.8,8.815177990466466e-05,0.0008606487697280045,-0.0012561014358578207,0.015518122106696373,0.021554200460402288,0.029366067182969934,-0.010756697132316485
2015-12-02,50.47261747743083,45.25297019532162,47.91333493234429,61.52963150505491,59.37954271298454,67.09732219413452,70.65445180047604,43.66510578501173,49.0197606601168,42.99847485144611,-1,1,-1,1,1,1,1,1,-1,-1,-0.04941948551246684,1.6390001813608188,-1.7302027331604726,1.8003268330368511,0.5638434185150402,1.433073473024181,2.021860831486096,1.550039505223581,1.4262901758396187,-1.727640971383141,0,-1.0,0.014569321557063702,8.815177990466466e-05,0.0008606487697280045,0.003900776204651884,0.003505323538522065,0.02380237665553114,-0.011458462016771842
2015-12-03,48.59894586363707,40.1146597102319,50.20029989537406,58.7816268562251,61.09872546392454,59.972036186622184,71.29453030701845,42.5541103167785,57.35113931060961,46.28224835875194,-1,-1,-1,1,1,1,1,-1,1,-1,-0.02030783693138261,-1.071061077652952,-0.4152616691622042,-0.3237868408845667,-0.2837519987662567,-1.3693793091497861,-0.3072510481157973,-0.19791711178824953,-0.1255485730169275,-0.7828189197349495,-1,-1.0,-0.010756697132316485,0.014569321557063702,8.815177990466466e-05,-0.007645837592024623,-0.006697037042391956,-0.004148755694516908,0.021643691489186226
