Metric,Before Tuning,After Tuning
Train R²,0.6960733748848877,0.21275154793446138
Test R²,-0.08896631995076154,-0.009606926705082897
Train MSE,4.706508375877763e-05,0.00012191072210734804
Test MSE,8.293822743657401e-05,7.689403003060075e-05
