,Equal-Weighted,Model-Based,Optimized Sharpe
AnnRet(%),21.822638503407628,19.432287958520313,25.70633669120327
AnnVol(%),13.877059749656773,14.781902897340181,14.917975928805447
Sharpe,1.5725693264230642,1.3145998924052902,1.7231785876121453
MaxDD(%),-16.933499824466715,-18.35658190626598,-15.97317515808262
WinRate(%),56.99999999999999,56.8,55.2
TotalRet(%),51.24538064970974,43.86560997601414,62.85908685763355
